iter	Passed	Remaining
0	2	200
1	3	147
2	4	136
3	5	123
4	6	116
5	7	113
6	8	109
7	9	111
8	11	114
9	12	111
10	13	108
11	14	105
12	15	101
13	16	99
14	17	97
15	18	95
16	19	93
17	20	91
18	20	88
19	21	86
20	22	84
21	23	83
22	24	81
23	25	79
24	25	77
25	26	75
26	28	75
27	29	74
28	29	73
29	30	71
30	31	70
31	32	69
32	33	67
33	34	66
34	35	65
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	53
44	43	52
45	44	51
46	44	50
47	46	50
48	47	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	40
58	56	38
59	56	37
60	57	37
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	64	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	83	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
